2017-10-25 20:22:04,750 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:22:04,751 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
2017-10-25 20:22:17,211 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:22:17,212 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-25 20:22:17,217 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:22:17,217 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
2017-10-25 20:27:42,917 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:27:42,918 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-25 20:27:42,921 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:27:42,922 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
2017-10-25 20:40:14,926 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:40:14,927 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-25 20:40:14,932 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:40:14,934 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
2017-10-25 20:46:26,934 [Worker-103] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:46:26,935 [Worker-103] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-25 20:46:26,942 [Worker-103] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:46:26,943 [Worker-103] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
2017-10-25 20:47:40,901 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:47:40,902 [Worker-105] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-25 20:47:40,904 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:47:40,905 [Worker-105] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
2017-10-25 20:52:41,444 [Worker-102] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:52:41,444 [Worker-102] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-25 20:52:41,445 [Worker-102] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:52:41,446 [Worker-102] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
2017-10-25 20:56:21,750 [Worker-102] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:56:21,751 [Worker-102] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2017-10-25 20:56:21,754 [Worker-102] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:56:21,755 [Worker-102] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
2017-10-25 20:56:29,355 [Worker-106] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:56:29,357 [Worker-106] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2017-10-25 20:56:29,358 [Worker-106] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 20:56:29,360 [Worker-106] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
2017-10-26 10:29:51,832 [Worker-585] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-26 10:29:51,836 [Worker-585] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2017-10-26 10:29:51,840 [Worker-585] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-26 10:29:51,840 [Worker-585] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
